Country/Territory,UN Region,IMF,IMF,World Bank,World Bank,United Nations,United Nations
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
World,—,"101,560,901",2022,"96,100,091",2021,"85,328,323",2020
United States,Americas,"25,035,164",2022,"22,996,100",2021,"20,893,746",2020
China,Asia,"18,321,197",2022,"17,734,063",2021,"14,722,801",2020
Japan,Asia,"4,300,621",2022,"4,937,422",2021,"5,057,759",2020
Germany,Europe,"4,031,149",2022,"4,223,116",2021,"3,846,414",2020
India,Asia,"3,468,566",2022,"3,173,398",2021,"2,664,749",2020
United Kingdom,Europe,"3,198,470",2022,"3,186,860",2021,"2,764,198",2020
France,Europe,"2,778,090",2022,"2,937,473",2021,"2,630,318",2020
Canada,Americas,"2,200,352",2022,"1,990,762",2021,"1,644,037",2020
Russia,Europe,"2,133,092",2022,"1,775,800",2021,"1,483,498",2020
Italy,Europe,"1,996,934",2022,"2,099,880",2021,"1,888,709",2020
Iran,Asia,"1,973,738",2022,"231,548",2020,"939,316",2020
Brazil,Americas,"1,894,708",2022,"1,608,981",2021,"1,444,733",2020
South Korea,Asia,"1,734,207",2022,"1,798,534",2021,"1,637,896",2020
Australia,Oceania,"1,724,787",2022,"1,542,660",2021,"1,423,473",2020
Mexico,Americas,"1,424,533",2022,"1,293,038",2021,"1,073,439",2020
Spain,Europe,"1,389,927",2022,"1,425,277",2021,"1,281,485",2020
Indonesia,Asia,"1,289,429",2022,"1,186,093",2021,"1,058,424",2020
Saudi Arabia,Asia,"1,010,588",2022,"833,541",2021,"700,118",2020
Netherlands,Europe,"990,583",2022,"1,018,007",2021,"913,865",2020
Turkey,Asia,"853,487",2022,"815,272",2021,"720,098",2020
Taiwan,Asia,"828,659",2022,—,—,"669,324",2020
Switzerland,Europe,"807,418",2022,"812,867",2021,"752,248",2020
Poland,Europe,"716,305",2022,"674,048",2021,"596,618",2020
Argentina,Americas,"630,698",2022,"491,493",2021,"383,067",2020
Sweden,Europe,"603,922",2022,"627,438",2021,"541,064",2020
Belgium,Europe,"589,491",2022,"599,879",2021,"521,861",2020
Thailand,Asia,"534,758",2022,"505,982",2021,"501,795",2020
Israel,Asia,"527,179",2022,"481,591",2021,"407,101",2020
Ireland,Europe,"519,776",2022,"498,560",2021,"425,889",2020
Norway,Europe,"504,703",2022,"482,437",2021,"362,522",2020
Nigeria,Africa,"504,203",2022,"440,777",2021,"429,899",2020
United Arab Emirates,Asia,"503,913",2022,"358,869",2021,"358,869",2020
Egypt,Africa,"469,094",2022,"404,143",2021,"369,309",2020
Austria,Europe,"468,046",2022,"477,083",2021,"433,258",2020
Bangladesh,Asia,"460,751",2022,"416,265",2021,"329,484",2020
Malaysia,Asia,"434,059",2022,"372,701",2021,"336,664",2020
Singapore,Asia,"423,632",2022,"396,987",2021,"339,988",2020
Vietnam,Asia,"413,808",2022,"362,638",2021,"271,158",2020
South Africa,Africa,"411,480",2022,"419,946",2021,"302,141",2020
Philippines,Asia,"401,662",2022,"394,086",2021,"361,489",2020
Denmark,Europe,"386,724",2022,"397,104",2021,"356,085",2020
Pakistan,Asia,"376,493",2022,"346,343",2021,"257,829",2020
Hong Kong,Asia,"368,373",2022,"368,139",2021,"349,445",2020
Colombia,Americas,"342,919",2022,"314,323",2021,"271,347",2020
Chile,Americas,"310,866",2022,"317,059",2021,"252,940",2020
Romania,Europe,"299,885",2022,"284,088",2021,"248,716",2020
Czech Republic,Europe,"295,618",2022,"282,341",2021,"245,349",2020
Iraq,Asia,"282,876",2022,"207,889",2021,"166,757",2020
Finland,Europe,"281,411",2022,"299,155",2021,"269,751",2020
Portugal,Europe,"255,854",2022,"249,887",2021,"228,539",2020
New Zealand,Oceania,"242,700",2022,"249,992",2021,"212,044",2020
Peru,Americas,"239,333",2022,"223,250",2021,"203,196",2020
Kazakhstan,Asia,"224,338",2022,"190,814",2021,"171,082",2020
Greece,Europe,"222,008",2022,"216,241",2021,"188,835",2020
Qatar,Asia,"221,369",2022,"179,571",2021,"146,401",2020
Ukraine,Europe,"199,719",2021,"200,086",2021,"155,582",2020
Algeria,Africa,"187,155",2022,"167,983",2021,"147,689",2020
Hungary,Europe,"184,651",2022,"182,281",2021,"155,808",2020
Kuwait,Asia,"183,568",2022,"105,960",2020,"105,949",2020
Morocco,Africa,"142,874",2022,"132,725",2021,"114,724",2020
Angola,Africa,"124,794",2022,"72,547",2021,"62,307",2020
Puerto Rico,Americas,"118,677",2022,"103,138",2020,"103,138",2020
Ecuador,Americas,"115,469",2022,"106,166",2021,"98,808",2020
Kenya,Africa,"114,858",2022,"110,347",2021,"101,014",2020
Slovakia,Europe,"112,418",2022,"114,871",2021,"105,173",2020
Dominican Republic,Americas,"112,417",2022,"94,244",2021,"78,845",2020
Ethiopia,Africa,"111,181",2022,"111,271",2021,"96,611",2020
Oman,Asia,"108,969",2022,"85,869",2021,"63,368",2020
Cuba,Americas,—,—,"107,352",2020,"107,352",2020
Guatemala,Americas,"91,318",2022,"85,986",2021,"77,605",2020
Bulgaria,Europe,"85,008",2022,"80,271",2021,"69,888",2020
Luxembourg,Europe,"82,154",2022,"86,711",2021,"73,353",2020
Venezuela,Americas,"82,145",2022,"482,359",2014,"106,359",2020
Belarus,Europe,"79,704",2022,"68,219",2021,"60,259",2020
Uzbekistan,Asia,"79,117",2022,"69,239",2021,"57,707",2020
Tanzania,Africa,"76,582",2022,"67,775",2021,"64,740",2020
Ghana,Africa,"75,996",2022,"77,594",2021,"68,532",2020
Turkmenistan,Asia,"74,439",2022,"45,231",2019,"42,845",2020
Sri Lanka,Asia,"73,739",2022,"84,519",2021,"80,677",2020
Uruguay,Americas,"71,161",2022,"59,320",2021,"53,629",2020
Panama,Americas,"71,085",2022,"63,605",2021,"52,938",2020
Azerbaijan,Asia,"70,066",2022,"54,622",2021,"42,607",2020
Croatia,Europe,"69,380",2022,"67,838",2021,"57,204",2020
Ivory Coast,Africa,"68,630",2022,"69,765",2021,"61,143",2020
Costa Rica,Americas,"68,489",2022,"64,282",2021,"61,521",2020
Lithuania,Europe,"68,031",2022,"65,504",2021,"56,547",2020
DR Congo,Africa,"63,909",2022,"53,959",2021,"45,308",2020
Serbia,Europe,"62,721",2022,"63,068",2021,"53,335",2020
Slovenia,Europe,"62,191",2022,"61,526",2021,"53,590",2020
Myanmar,Asia,"59,530",2022,"65,068",2021,"70,284",2020
Uganda,Africa,"48,352",2022,"40,435",2021,"38,702",2020
Jordan,Asia,"48,066",2022,"45,244",2021,"43,697",2020
Tunisia,Africa,"46,282",2022,"46,840",2021,"39,218",2020
Cameroon,Africa,"44,212",2022,"45,239",2021,"39,881",2020
Bahrain,Asia,"43,544",2022,"38,869",2021,"33,904",2020
Bolivia,Americas,"43,431",2022,"40,408",2021,"36,573",2020
Sudan,Africa,"42,762",2022,"34,326",2021,"62,057",2020
Paraguay,Americas,"41,855",2022,"38,987",2021,"35,304",2020
Libya,Africa,"40,836",2022,"41,880",2021,"29,153",2020
Latvia,Europe,"40,588",2022,"38,873",2021,"33,707",2020
Estonia,Europe,"39,054",2022,"36,263",2021,"30,650",2020
Nepal,Asia,"39,028",2022,"36,289",2021,"33,079",2020
Zimbabwe,Africa,"38,280",2022,"26,218",2021,"21,787",2020
El Salvador,Americas,"31,989",2022,"28,737",2021,"24,639",2020
Papua New Guinea,Oceania,"31,362",2022,"26,594",2021,"23,619",2020
Honduras,Americas,"30,568",2022,"28,489",2021,"23,828",2020
Trinidad and Tobago,Americas,"29,337",2022,"21,392",2021,"21,393",2020
Cambodia,Asia,"28,330",2022,"26,961",2021,"25,291",2020
Iceland,Europe,"27,702",2022,"25,459",2021,"21,718",2020
Yemen,Asia,"27,594",2022,"21,062",2021,"27,958",2020
Senegal,Africa,"27,542",2022,"27,625",2021,"24,412",2020
Zambia,Africa,"27,025",2022,"21,203",2021,"18,111",2020
Cyprus,Asia,"26,705",2022,"27,719",2021,"24,612",2020
Georgia,Europe,"25,172",2022,"18,700",2021,"15,892",2020
Bosnia and Herzegovina,Europe,"23,681",2022,"22,572",2021,"19,801",2020
Macau,Asia,"23,420",2022,"29,905",2021,"24,333",2020
Gabon,Africa,"22,221",2022,"18,269",2021,"15,111",2020
Haiti,Americas,"20,182",2022,"20,944",2021,"15,505",2020
Afghanistan,Asia,"20,136",2020,"20,116",2020,"19,793",2020
Guinea,Africa,"19,745",2022,"15,851",2021,"15,490",2020
Palestine,Asia,"19,698",2022,"18,037",2021,"15,561",2020
Brunei,Asia,"18,464",2022,"14,007",2021,"12,003",2020
Mali,Africa,"18,434",2022,"19,144",2021,"17,332",2020
Burkina Faso,Africa,"18,268",2022,"19,738",2021,"17,369",2020
Albania,Europe,"18,256",2022,"18,260",2021,"14,910",2020
Lebanon,Asia,"24,494",2020,"18,077",2021,"63,546",2020
Botswana,Africa,"18,005",2022,"17,614",2021,"15,782",2020
Mozambique,Africa,"17,873",2022,"16,096",2021,"14,029",2020
Armenia,Asia,"17,693",2022,"13,861",2021,"12,641",2020
Benin,Africa,"17,547",2022,"17,786",2021,"15,205",2020
Malta,Europe,"17,156",2022,"17,190",2021,"14,911",2020
Equatorial Guinea,Africa,"16,877",2022,"12,269",2021,"10,022",2020
Laos,Asia,"16,250",2022,"18,827",2021,"19,082",2020
Jamaica,Americas,"16,104",2022,"13,638",2021,"13,812",2020
North Korea,Asia,—,—,—,—,"15,847",2020
Mongolia,Asia,"15,720",2022,"15,098",2021,"13,137",2020
Nicaragua,Americas,"15,695",2022,"14,013",2021,"12,621",2020
Syria,Asia,—,—,"21,446",2018,"15,572",2020
Madagascar,Africa,"15,106",2022,"14,637",2021,"13,008",2020
Guyana,Americas,"14,839",2022,"7,409",2021,"5,471",2020
Niger,Africa,"14,639",2022,"14,951",2021,"13,741",2020
Congo,Africa,"14,486",2022,"12,524",2021,"10,100",2020
North Macedonia,Europe,"14,101",2022,"13,879",2021,"12,264",2020
Moldova,Europe,"14,048",2022,"13,679",2021,"11,914",2020
Chad,Africa,"12,945",2022,"11,780",2021,"11,154",2020
Bahamas,Americas,"12,693",2022,"11,209",2021,"9,908",2020
Namibia,Africa,"12,488",2022,"12,236",2021,"10,710",2020
Rwanda,Africa,"12,098",2022,"11,070",2021,"10,332",2020
Malawi,Africa,"11,554",2022,"12,627",2021,"11,762",2020
Mauritius,Africa,"11,497",2022,"11,157",2021,"10,921",2020
Mauritania,Africa,"10,091",2022,"8,228",2021,"7,916",2020
Tajikistan,Asia,"9,983",2022,"8,746",2021,"7,997",2020
Kyrgyzstan,Asia,"9,750",2022,"8,543",2021,"7,736",2020
New Caledonia,Oceania,—,—,"9,436",2020,"9,709",2020
Kosovo,Europe,"9,242",2022,"9,007",2021,"7,734",2020
Somalia,Africa,"8,416",2022,"7,293",2021,"1,873",2020
Togo,Africa,"8,359",2022,"8,413",2021,"7,146",2020
Bermuda,Americas,—,—,"7,081",2021,"7,719",2020
Liechtenstein,Europe,—,—,"6,427",2019,"6,872",2020
Monaco,Europe,—,—,"6,816",2020,"6,816",2020
Cayman Islands,Americas,—,—,"5,609",2020,"6,256",2020
Montenegro,Europe,"6,127",2022,"5,809",2021,"4,789",2020
Maldives,Asia,"5,900",2022,"4,890",2021,"3,743",2020
Guam,Oceania,—,—,"5,844",2020,—,—
Barbados,Americas,"5,788",2022,"4,901",2021,"4,440",2020
French Polynesia,Oceania,—,—,"5,669",2020,"5,817",2020
Fiji,Oceania,"4,859",2022,"4,592",2021,"4,494",2020
South Sudan,Africa,"4,784",2022,"11,998",2015,"15,903",2020
Eswatini,Africa,"4,669",2022,"4,941",2021,"3,835",2020
Sierra Leone,Africa,"4,101",2022,"4,200",2021,"3,787",2020
Liberia,Africa,"3,900",2022,"3,487",2021,"2,481",2020
Djibouti,Africa,"3,725",2022,"3,371",2021,"3,423",2020
Burundi,Africa,"3,686",2022,"2,902",2021,"3,399",2020
Aruba,Americas,"3,499",2022,"2,497",2020,"2,497",2020
Andorra,Europe,"3,302",2022,"3,330",2021,"2,864",2020
Greenland,Americas,—,—,"3,076",2020,"3,130",2020
Suriname,Americas,"3,011",2022,"2,862",2021,"4,120",2020
Bhutan,Asia,"2,707",2022,"2,315",2020,"2,483",2020
Belize,Americas,"2,676",2022,"1,790",2021,"1,586",2020
Lesotho,Africa,"2,507",2022,"2,519",2021,"2,273",2020
