State,Head of state,Head of government
Afghanistan,Supreme Leader – Hibatullah Akhundzada,Acting Prime Minister – Hasan Akhund
Albania,President – Bajram Begaj,Prime Minister – Edi Rama
Algeria,President – Abdelmadjid Tebboune,Prime Minister – Aymen Benabderrahmane
Andorra,"Episcopal Co-Prince – Joan Enric Vives i Sicília
Co-Prince's Representative – Josep Maria Mauri
French Co-Prince – Emmanuel Macron
Co-Prince's Representative – Patrick Strzoda",Prime Minister – Xavier Espot Zamora
Angola,President – João Lourenço,President – João Lourenço
Antigua and Barbuda,"King – Charles III
Governor-General – Sir Rodney Williams",Prime Minister – Gaston Browne
Argentina,President – Alberto Fernández,President – Alberto Fernández
Armenia,President – Vahagn Khachaturyan,Prime Minister – Nikol Pashinyan
Australia,"King – Charles III
Governor-General – David Hurley",Prime Minister – Anthony Albanese
Austria,President – Alexander Van der Bellen,Chancellor – Karl Nehammer
Azerbaijan,President – Ilham Aliyev,Prime Minister – Ali Asadov
"Bahamas, The","King – Charles III
Governor-General – Sir Cornelius A. Smith",Prime Minister – Philip Davis
Bahrain,King – Sheikh Hamad bin Isa Al Khalifa,Prime Minister – Prince Salman bin Hamad Al Khalifa
Bangladesh,President – Abdul Hamid,Prime Minister – Sheikh Hasina
Barbados,President – Dame Sandra Mason,Prime Minister – Mia Mottley
Belarus,President – Alexander Lukashenko,President – Alexander Lukashenko
Belgium,King – Philippe,Prime Minister – Alexander De Croo
Belize,"King – Charles III
Governor-General – Dame Froyla Tzalam",Prime Minister – Johnny Briceño
Benin,President – Patrice Talon,President – Patrice Talon
Bhutan,King – Jigme Khesar Namgyel Wangchuck,Prime Minister – Lotay Tshering
Bolivia,President – Luis Arce,President – Luis Arce
Bosnia and Herzegovina,High Representative – Christian Schmidt,High Representative – Christian Schmidt
Bosnia and Herzegovina,Presidency,Prime Minister – Zoran Tegeltija
Bosnia and Herzegovina,Željka Cvijanović (as Chairwoman),Prime Minister – Zoran Tegeltija
Bosnia and Herzegovina,"Denis Bećirović (as Member)
Željko Komšić (as Member)",Prime Minister – Zoran Tegeltija
Botswana,President – Mokgweetsi Masisi,President – Mokgweetsi Masisi
Brazil,President – Jair Bolsonaro,President – Jair Bolsonaro
Brazil,President-elect – Luiz Inácio Lula da Silva,President-elect – Luiz Inácio Lula da Silva
Brunei,Sultan and Prime Minister – Hassanal Bolkiah,Sultan and Prime Minister – Hassanal Bolkiah
Bulgaria,President – Rumen Radev,Prime Minister – Galab Donev
Burkina Faso,President of the Patriotic Movement for Safeguard and Restoration – Ibrahim Traoré,President of the Patriotic Movement for Safeguard and Restoration – Ibrahim Traoré
Burkina Faso,Interim President – Ibrahim Traoré,Interim Prime Minister – Apollinaire Joachim Kyélem de Tambèla
Burundi,President – Évariste Ndayishimiye,Prime Minister – Gervais Ndirakobuca
Cambodia,King – Norodom Sihamoni,Prime Minister – Hun Sen
Cameroon,President – Paul Biya,Prime Minister – Joseph Ngute
Canada,"King – Charles III
Governor General – Mary Simon",Prime Minister – Justin Trudeau
Cape Verde,President – José Maria Neves,Prime Minister – Ulisses Correia e Silva
Central African Republic,President – Faustin-Archange Touadéra,Prime Minister – Félix Moloua
Chad,Transitional President – Mahamat Déby,Prime Minister – Saleh Kebzabo
Chile,President – Gabriel Boric,President – Gabriel Boric
China,General Secretary of the Communist Party – Xi Jinping,General Secretary of the Communist Party – Xi Jinping
China,President – Xi Jinping,"Premier – Li Keqiang
Premier-designate – Li Qiang"
Colombia,President – Gustavo Petro,President – Gustavo Petro
Comoros,President – Azali Assoumani,President – Azali Assoumani
"Congo, Democratic Republic of the",President – Félix Tshisekedi,Prime Minister – Jean-Michel Sama Lukonde
"Congo, Republic of the",President – Denis Sassou Nguesso,Prime Minister – Anatole Collinet Makosso
Costa Rica,President – Rodrigo Chaves Robles,President – Rodrigo Chaves Robles
Croatia,President – Zoran Milanović,Prime Minister – Andrej Plenković
Cuba,First Secretary of the Communist Party – Miguel Díaz-Canel,First Secretary of the Communist Party – Miguel Díaz-Canel
Cuba,President – Miguel Díaz-Canel,Prime Minister – Manuel Marrero Cruz
Cyprus,President – Nicos Anastasiades,President – Nicos Anastasiades
Czech Republic,President – Miloš Zeman,Prime Minister – Petr Fiala
Denmark,Queen – Margrethe II,Prime Minister – Mette Frederiksen
Djibouti,President – Ismaïl Omar Guelleh,Prime Minister – Abdoulkader Kamil Mohamed
Dominica,President – Charles Savarin,Prime Minister – Roosevelt Skerrit
Dominican Republic,President – Luis Abinader,President – Luis Abinader
East Timor,President – José Ramos-Horta,Prime Minister – Taur Matan Ruak
Ecuador,President – Guillermo Lasso,President – Guillermo Lasso
Egypt,President – Abdel Fattah el-Sisi,Prime Minister – Mostafa Madbouly
El Salvador,President – Nayib Bukele,President – Nayib Bukele
Equatorial Guinea,President – Teodoro Obiang Nguema Mbasogo,Prime Minister – Francisco Pascual Obama Asue
