City/Town,Country/Territory,Notes
Abidjan (former capital; still has many government offices),Ivory Coast,
Yamoussoukro (official),Ivory Coast,
Abu Dhabi,United Arab Emirates,
Abuja,Nigeria,Lagos was the capital from 1914 to 1991.
Accra,Ghana,
Adamstown,Pitcairn Islands,British Overseas Territory.
Addis Ababa,Ethiopia,
"Aden (de facto, temporary)",Yemen,"Sana'a has been occupied by Houthi rebels since February 2015. Aden, the former capital of South Yemen, is Yemen's acting capital. See also: Yemeni Civil War (2015–present)."
Sana'a (de jure),Yemen,"Sana'a has been occupied by Houthi rebels since February 2015. Aden, the former capital of South Yemen, is Yemen's acting capital. See also: Yemeni Civil War (2015–present)."
Algiers,Algeria,
Alofi,Niue,Self-governing in free association with New Zealand.
Amman,Jordan,
Amsterdam (official),Netherlands,"The Dutch constitution refers to Amsterdam as the ""capital"". Also of the public bodies of:  Bonaire,  Saba and  Sint Eustatius."
The Hague (de facto),Netherlands,"The Dutch government is located in The Hague, which also hosts the monarch, government ministries, judiciary and diplomatic missions."
Andorra la Vella,Andorra,
Ankara,Turkey,"Ankara replaced Istanbul as the capital of the newly-formed Republic of Turkey in 1923, after the Turkish War of Independence. Istanbul was the capital of Turkey's predecessor, the Ottoman Empire."
Antananarivo,Madagascar,
Apia,Samoa,
Ashgabat,Turkmenistan,
Asmara,Eritrea,
Astana,Kazakhstan,Astana was named Nur-Sultan from 2019 to 2022. Almaty was the capital from 1929 to 1997.
Asunción,Paraguay,
Athens,Greece,
Avarua,Cook Islands,"Self-governing in free association with New Zealand. Sometimes incorrectly referred to as Rarotonga, the name of the island on which Avarua is located."
Baghdad,Iraq,
Baku,Azerbaijan,
Bamako,Mali,
Bandar Seri Begawan,Brunei,
Bangkok,Thailand,
Bangui,Central African Republic,
Banjul,The Gambia,
Basseterre,Saint Kitts and Nevis,
Beijing,China,"See also: Historical capitals of China.
Sub-divisions of  Hong Kong and  Macau."
Beirut,Lebanon,
Belgrade,Serbia,
Belmopan,Belize,
Berlin,Germany,Bonn was the capital of West Germany and remained the seat of government for united Germany until 1999.
Bern (de facto),Switzerland,Switzerland has no official capital.
Bishkek,Kyrgyzstan,
Bissau,Guinea-Bissau,
Bloemfontein (judicial),South Africa,
Cape Town (legislative),South Africa,
Pretoria (executive),South Africa,
Bogotá,Colombia,
Brades (de facto),Montserrat,"British Overseas Territory. Plymouth was abandoned after the eruption of the Soufriere Hills volcano in 1997. Government offices since then have been moved to Brades, which is in the northwestern part of Montserrat."
Plymouth (official),Montserrat,"British Overseas Territory. Plymouth was abandoned after the eruption of the Soufriere Hills volcano in 1997. Government offices since then have been moved to Brades, which is in the northwestern part of Montserrat."
Brasília,Brazil,Rio de Janeiro was the capital until 1960. See also: Capitals of Brazil
Bratislava,Slovakia,
Brazzaville,Congo,
Bridgetown,Barbados,
Brussels,Belgium,Also the de facto capital of the  European Union.
Bucharest,Romania,
Budapest,Hungary,See also: List of historical capitals of Hungary
Buenos Aires,Argentina,
Cairo,Egypt,A new capital is being built at the New Administrative Capital. It could be named Egypt. See also: List of historical capitals of Egypt
Camp Thunder Cove,British Indian Ocean Territory,British Overseas Territory.
Canberra,Australia,"Planned city built to overcome the rivalry between Melbourne (de facto capital at the time) and Sydney (economic capital and largest population center), which were both put forward as potential capitals for the nation in the Australasia Federation Conventions of the 1890s. Section 125 of the Constitution gives basic details about the location of the capital, size of the encompassing territory and so forth, while the Seat of Government Act 1908 specified its precise location."
Caracas,Venezuela,
Castries,Saint Lucia,
"Cetinje (Old Royal Capital, present seat of the President)",Montenegro,
Podgorica (official),Montenegro,
Charlotte Amalie,United States Virgin Islands,Territory of the United States.
Chișinău,Moldova,
Cockburn Town,Turks and Caicos Islands,British Overseas Territory.
"Colombo (executive, judicial)",Sri Lanka,"Until the 1980s, the capital was Colombo, where many important governmental institutions still remain and which is still designated as the commercial capital of Sri Lanka."
Sri Jayawardenepura Kotte (official),Sri Lanka,Also known as Kotte.
Conakry,Guinea,
Copenhagen,Denmark,
Cotonou (de facto),Benin,
Porto-Novo (official),Benin,
Dakar,Senegal,
Damascus,Syria,
"Dar es Salaam (de facto, judicial)",Tanzania,"Dar es Salaam, the former capital and largest city continues to serve as the de facto seat of government hosting the presidency, government ministries, judiciary and diplomatic missions."
"Dodoma (official, legislative)",Tanzania,
Dhaka,Bangladesh,
Dili,East Timor,
Djibouti City,Djibouti,
Doha,Qatar,
Douglas,Isle of Man,British Crown Dependency.
Dublin,Ireland,
Dushanbe,Tajikistan,
Flying Fish Cove,Christmas Island,External territory of Australia.
Freetown,Sierra Leone,
Funafuti,Tuvalu,
Gaborone,Botswana,
George Town,Cayman Islands,British Overseas Territory.
Georgetown,Ascension Island,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
Georgetown,Guyana,
Gibraltar,Gibraltar,British Overseas Territory.
Gitega (official),Burundi,Bujumbura was the capital from 1962 to 2018.
Bujumbura (de facto),Burundi,
Guatemala City,Guatemala,
Gustavia,Saint Barthélemy,Overseas collectivity of France.
Hagåtña,Guam,Territory of the United States.
Hamilton,Bermuda,British Overseas Territory.
Hanoi,Vietnam,See also: List of historical capitals of Vietnam
Harare,Zimbabwe,
Hargeisa,Somaliland,"Unrecognized and self-declared state, de jure part of Somalia."
Havana,Cuba,
Helsinki,Finland,
Honiara,Solomon Islands,
Islamabad,Pakistan,Karachi was selected as the first capital of Pakistan and served as such until the capital was shifted to Rawalpindi in 1958. Rawalpindi served as an interim capital for almost a decade until the construction of Islamabad was complete.
Jakarta,Indonesia,A new purpose-built city named Nusantara in Kalimantan is planned to replace Jakarta as the national capital from the mid-2020s.
Jamestown,Saint Helena,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha."
