Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Angola,"19,080,000","17,237,400",90.50,"100,000",1.00,"973,080",5.10,0,0.00,0,0.00,"801,360",4.20,0,0.00,0,0.00
Cameroon,"19,600,000","13,778,800",70.30,"7,692,300",30.00,"1,038,800",5.30,0,0.00,0,0.00,"646,800",3.30,"529,270",2.70,0,0.00
Central African Republic,"4,403,540","3,938,000",89.50,"862,000",15.00,"44,000",1.00,0,0.00,0,0.00,"44,000",1.00,0,0.00,0,0.00
Chad,"11,230,000","4,559,380",40.60,"9,200,000",58.00,"280,750",2.50,0,0.00,0,0.00,"157,220",1.40,"11,230",0.10,0,0.00
"Congo, Democratic Republic of the","65,970,000","63,199,260",95.80,"1,249,200",1.90,"1,187,460",1.80,"30,000",0.05,0,0.00,"461,790",0.70,"65,970",0.10,"2,500",0.00003
"Congo, Republic of the","4,040,000","3,470,360",85.90,"108,000",2.00,"363,600",9.00,0,0.00,0,0.00,"113,120",2.80,"44,440",1.10,0,0.00
Equatorial Guinea,"700,000","620,900",88.70,"80,000",10.00,"35,000",5.00,0,0.00,0,0.00,"11,900",1.70,"3,500",0.50,0,0.00
Gabon,"1,510,000","1,155,150",76.50,"169,120",11.20,"84,560",5.60,0,0.00,0,0.00,"90,600",6.00,"10,570",0.70,0,0.00
São Tomé and Príncipe,"170,000","139,740",82.20,"6,000",3.00,"21,420",12.60,0,0.00,0,0.00,"4,930",2.90,"4,080",2.40,0,0.00
Central Africa,"126,700,000","108,128,990",85.34,"11,444,300",9.03,"4,028,670",3.18,"30,000",0.02,0,0.00,"2,331,720",1.84,"668,990",0.53,0,0.00
Burundi,"8,380,000","7,667,700",91.50,"1,184,452",10.00,0,0.00,0,0.00,0,0.00,"477,960",5.70,0,0.00,0,0.00
Comoros,"730,620","5,000",0.20,"725,620",99.80,0,0.00,0,0.00,0,0.00,000,0.00,0,0.00,0,0.00
Djibouti,"893,450","20,470",2.30,"862,410",96.90,"1,780",0.20,0,0.00,0,0.00,"2,670",0.30,0,0.00,"1,780",0.20
Eritrea,"5,250,000","2,625,000",50.00,"2,520,000",48.00,"5,250",0.10,0,0.00,0,0.00,"21,000",0.40,0,0.00,0,0.00
Ethiopia,"82,950,000","52,092,600",54.00,"35,600,000",42.60,"50,000",0.06,0,0.00,0,0.00,"2,156,700",2.60,0,0.00,"25,000",1.00
Kenya,"40,510,000","34,352,480",84.80,"3,929,470",9.70,"1,012,750",2.50,"40,510",0.10,0,0.00,"688,670",1.70,"486,120",1.20,0,0.00
Madagascar,"20,710,000","17,665,630",85.30,"621,300",3.00,"1,428,990",6.90,"10,000",0.05,0,0.00,"931,950",4.50,"20,000",0.10,0,0.00
Malawi,"14,900,000","12,322,300",82.70,"1,937,000",13.00,"372,500",2.50,0,0.00,0,0.00,"253,300",1.70,0,0.00,0,0.00
Mauritius,"1,300,000","328,900",25.30,"217,100",16.70,"7,800",0.60,"733,200",56.40,0,0.00,"9,100",0.70,"3,900",0.30,0,0.00
Mayotte,"200,000","1,400",0.70,"197,200",98.60,400,0.20,0,0.00,0,0.00,"1,000",0.50,0,0.00,0,0.00
Mozambique,"23,390,000","13,262,130",56.70,"4,210,200",18.00,"4,186,810",17.90,0,0.00,0,0.00,"1,730,860",7.40,0,0.00,0,0.00
Réunion,"850,000","744,600",87.60,"35,700",4.20,"17,000",2.00,"38,250",4.50,"1,700",0.20,"3,400",0.40,"9,350",1.10,0,0.00
Rwanda,"10,620,000","9,919,080",93.40,"576,040",4.80,"382,320",3.60,0,0.00,0,0.00,"106,200",1.00,"21,240",0.20,0,0.00
Seychelles,"90,000","84,600",94.00,"1,038",1.10,"1,890",2.10,"1,890",2.10,0,0.00,0,0.00,540,0.60,0,0.00
Somalia,"9,330,000",100,0.01,"9,311,340",99.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
South Sudan,"9,950,000","6,019,750",60.50,"2,464,692",20.00,"49,750",0.50,0,0.00,0,0.00,"3,273,550",32.90,0,0.00,0,0.00
Tanzania,"44,840,000","27,531,760",61.40,"15,783,680",35.20,"627,760",1.40,"44,840",0.10,0,0.00,"807,120",1.80,"30,000",0.07,0,0.00
Uganda,"33,420,000","28,975,140",86.70,"3,843,300",11.50,"167,100",0.50,"100,260",0.30,0,0.00,"300,780",0.90,"33,420",0.10,0,0.00
Zambia,"13,090,000","12,775,840",97.60,"170,000",1.00,"65,450",0.50,"13,090",0.10,0,0.00,"39,270",0.30,"117,810",0.90,0,0.00
Zimbabwe,"12,570,000","10,935,900",87.00,"120,000",1.00,"993,030",7.90,0,0.00,0,0.00,"477,660",3.80,"37,710",0.30,"10,000",0.08
Eastern Africa,"333,970,000","238,006,180",71.27,"73,510,760",22.01,"9,371,310",2.81,"982,040",0.29,"1,700",0.00,"11,288,190",3.38,"760,090",0.23,"11,780",0.00
Algeria,"43,851,044","419,570",1.00,"43,734,560",98.00,"354,700",1.8,0,0.00,0,0.00,"10,000",0.20,0,0.00,"140,000",0.80
Egypt,"81,120,000","9,486,120",11.20,"76,982,880",88.90,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"1,000",0.10
Libya,"6,360,000","171,720",2.70,"6,143,760",96.60,"12,720",0.20,0,0.00,"19,080",0.30,0,0.00,0,0.00,0,0.00
Morocco,"31,950,000","20,000",0.06,"31,918,050",99.90,0,0.00,0,0.00,0,0.00,0,0.00,"3,200",0.01,"2,200",0.04
