Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Benin,"8,852,780","4,690,500",48.00,"3,141,320",28.00,"442,500",6.00,0,0.00,0,0.00,"1,601,850",18.00,0,0.00,0,0.00
Burkina Faso,"16,470,000","3,705,750",22.50,"12,142,000",62.00,"65,880",0.40,0,0.00,0,0.00,"2,536,380",15.40,0,0.00,0,0.00
Cape Verde,"512,450","445,500",89.10,800,2.00,"45,500",9.10,0,0.00,0,0.00,"7,500",1.50,"1,000",0.20,0,0.00
The Gambia,"1,730,000","77,850",4.50,"1,645,230",95.10,0,0.00,0,0.00,0,0.00,"1,730",0.10,0,0.00,0,0.00
Ghana,"24,390,000","18,268,110",74.90,"5,058,480",17.80,"1,024,380",4.20,0,0.00,0,0.00,"1,195,110",4.90,"48,780",0.20,0,0.00
Guinea,"9,980,000","1,087,820",10.90,"8,423,120",84.40,"179,640",1.80,0,0.00,0,0.00,"269,460",2.70,0,0.00,0,0.00
Guinea-Bissau,"1,520,000","300,000",20.00,"826,800",45.20,"65,360",4.00,0,0.00,0,0.00,"469,680",28.00,0,0.00,0,0.00
Ivory Coast,"19,740,000","8,705,340",44.10,"11,266,000",43.20,"1,579,200",8.00,0,0.00,0,0.00,"2,013,480",10.20,"39,480",0.20,0,0.00
Liberia,"3,990,000","3,427,410",85.90,"962,000",20.00,"55,860",1.40,0,0.00,0,0.00,"19,950",0.50,"3,990",0.10,0,0.00
Mali,"19,329,841","491,840",3.20,"17,508,400",95.00,"414,990",0.60,0,0.00,0,0.00,"245,920",1.20,0,0.00,0,0.00
Mauritania,"4,594,525","3,000",0.10,"4,591,525",99.90,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00
Niger,"15,510,000","124,080",0.80,"15,261,840",98.40,"108,570",0.70,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Nigeria,"158,420,000","80,000,000",38.23,"99,200,000",61.34,"633,680",0.04,0,0.00,"10,000",0.01,"2,217,880",1.00,"90,000",0.06,0,0.00
Senegal,"17,745,000","887,250",5.00,"16,325,400",92.00,"35,490",0.20,0,0.00,0,0.00,"496,860",2.80,0,0.00,0,0.00
Sierra Leone,"5,870,000","1,226,830",21.00,"4,578,600",78.00,"5,870",0.10,0,0.00,0,0.00,"46,960",1.00,0,0.00,0,0.00
Saint Helena,"4,000","3,860",99.90,140,0.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Togo,"6,030,000","2,635,110",43.70,"1,562,000",20.00,"373,860",6.20,0,0.00,0,0.00,"2,146,680",35.60,"36,180",0.60,0,0.00
Western Africa,"304,264,000","123,748,360",40.67,"162,347,970",53.36,"5,034,372",1.64,0,0.00,"10,000",0.00,"12,789,880",4.20,"219,438",0.07,0,0.00
