Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
American Samoa,"70,920","68,860",98.30%,50,0.10%,490,0.70%,0,0.00%,210,0.30%,280,0.40%,210,0.30%,0,0.00%
Cook Islands,"20,000","19,200",96.00%,0,0.00%,640,3.20%,0,0.00%,0,0.00%,0,0.00%,160,0.80%,0,0.00%
French Polynesia,"270,000","253,800",94.00%,688,0.10%,"13,230",4.80%,0,0.00%,0,0.00%,"1,350",0.50%,"1,080",0.40%,0,0.00%
Niue,"2,000","1,928",96.40%,50,0.10%,66,3.20%,0,0.00%,0,0.00%,0,0.00%,4,0.20%,0,0.00%
Samoa,"180,000","174,240",96.80%,300,0.10%,"4,500",2.50%,0,0.00%,0,0.00%,0,0.00%,720,0.30%,0,0.00%
Tokelau,"1,414","1,397",99.80%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.20%,0,0.00%
Tonga,"100,000","99,000",99.00%,120,0.10%,0,0.00%,100,0.10%,0,0.00%,0,0.00%,900,0.80%,0,0.00%
Tuvalu,"11,000","10,800",99.80%,200,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Wallis and Futuna,"13,000","12,662",97.40%,0,0.00%,78,0.60%,0,0.00%,0,0.00%,156,1.20%,104,0.80%,0,0.00%
Total,"667,400","641,574",96.13%,1400,0.20%,"19,147",2.87%,100,0.01%,210,0.03%,"1,786",0.27%,"3,390",0.51%,0,0.00%
